,월,작업유형,절감항목,A.집행비,B.공사비 적용시,절감비(A-B),비고,,
,2024-12-31,사택 누수보수,사택 5-401 누수 난방분배기 교체," 603,075 "," 603,075 ", - ,○ 24년 상반기 집행비(1세대),,
,2025-01-31,사택 누수탐지,사택 9-501 누수탐지 및 바닥 매립배관 보수," 1,150,250 "," 1,150,250 ", - ,○ 1세대 집행비,,
,2025-01-31,사택 누수탐지,테스트-1," 1,150,250 "," 1,650,250 ","-500,000 ",○ 1세대 집행비,,
,2025-01-31,사택 누수탐지,테스트-2," 1,150,250 "," 1,170,250 ","-20,000 ",○ 1세대 집행비,,
,2025-02-28,사택 누수보수,사택 2-203호외 3세대 누수 난방분배기 교체," 1,540,475 "," 2,412,300 ","-871,825 ","○영선성 으로 전환 (발주유형 변경)
-2세대씩 묶음(시공사 미정)",,
,2024-12-31,사택 세대내 보일러 교체(개별),사택 102-401 세대내 고장 보일러 교체," 1,327,625 "," 1,327,625 ", - ,○24년 상반기 집행비,,
,2025-03-30,사택 세대내 보일러 교체(개별),사택 102-305 고장 보일러 납품," 1,075,000 "," 1,327,625 ","-252,625 ","○공구기구성 전환(발주유형 변경)
-252_625원/대당 절감",,
,2025-03-30,사택 세대내 보일러 교체(개별),사택 103-406 고장 보일러 납품," 1,075,000 "," 1,327,625 ","-252,625 ","""",,
,2025-04-30,긴급 건축 보수(후정산),기숙사 및 사택 긴급보수 작업(건축)-1차," 4,997,675 "," 6,291,975 ","-1,294,300 ","○일일 투입 인원 Vs 실작업 절감 시간 반영(시공사)
-[-4.5명]*21_9321원(특별인부)*간접비*Fee(7.5%) 1_294_300원",,
,2025-04-30,기타 보수(기숙사/사택),기숙사 및 사택 저수조 안전 브라켓," 1,885,550 "," 2,772,425 ","-886,875 ","○계약후 감액 변경
-작업일 2일 계획에서 1일로 변경
-단순작업(약 1시간): 실비 정산 전환_무상(발주유형 변경)",,
,2025-04-30,기타 보수(기숙사/사택),기숙사동 및 사택 소방 지적사항 보완," 5,070,775 "," 7,220,775 ","-2,150,000 ","○계약후 감액 변경
-밸브 3개->2개 감액(정밀 재점검)
-전담 사다리 보조자 미투입 감액(작업성)",,
,2025-04-30,사택 세대내 보일러 교체(개별),사택 101-304 고장 보일러 납품," 1,075,000 "," 1,327,625 ","-252,625 ","""",,
,2025-04-30,사택 세대내 보일러 교체(개별),사택 101-103 고장 보일러 납품," 1,075,000 "," 1,327,625 ","-252,625 ","""",,
,2025-04-30,사택 세대내 보일러 교체(개별),사택 102-306 고장 보일러 납품," 1,075,000 "," 1,327,625 ","-252,625 ","""",,
,2025-04-30,사택 세대내 보일러 교체(개별),사택 103-301 고장 보일러 납품," 1,075,000 "," 1,327,625 ","-252,625 ","""",,
,2025-01-06,공사성 영선 전환(관리소),B-502-1 난방불량 - 구동기 핀밸브 고착으로 보수," 506,325 "," 607,590 ","-101,265 ",○건축_기계_전기 최소인건비만 적용 (절감금액 보수적 산출),,
,2025-01-08,공사성 영선 전환(관리소),2-207 욕실 샤워부스 고정용 부품 교체 및 재설치," 506,325 "," 607,590 ","-101,265 ","""",,
,2025-01-10,공사성 영선 전환(관리소),2-207 앞베란다 방충망 1개 보수," 506,325 "," 607,590 ","-101,265 ","""",,
,2025-01-10,공사성 영선 전환(관리소),A-502-5 난방불량 - 구동기 인서트 밸브 핀 조정," 506,325 "," 607,590 ","-101,265 ","""",,
,2025-01-10,공사성 영선 전환(관리소),2-105 전등 누전발생으로 점검 - 보일러 내 부 케이블 절연처리 복구," 506,325 "," 607,590 ","-101,265 ","""",,
,2025-01-12,공사성 영선 전환(관리소),A-204-4 난방불량 - 구동기 핀밸브 수리," 506,325 "," 607,590 ","-101,265 ","""",,
,2025-01-13,공사성 영선 전환(관리소),B-803-2 욕실 샤워기 앞 주변 바닥타일 실리콘 보수," 506,325 "," 607,590 ","-101,265 ","""",,
,2025-01-14,공사성 영선 전환(관리소),6-406 씽크대 수전 철거 및 온_ 냉수 벽부 배관 엔드캡 막음," 506,325 "," 607,590 ","-101,265 ","""",,
,2025-01-14,공사성 영선 전환(관리소),8-310 욕실_ 주방 씽크대 모서리 실리콘 보수," 506,325 "," 607,590 ","-101,265 ","""",,
,2025-01-14,공사성 영선 전환(관리소),2-207 주방 하부장 상판 및 타일 실리콘 보수," 506,325 "," 607,590 ","-101,265 ","""",,
